repetitiveness_score,len,ppl
7.096774193548387,197,1.3291278064384167
0.0,40,3.2166665244977684
25.0,14,2.5449561866251575
12.686567164179104,200,1.8910362747714544
0.0,20,2.0374530256648566
23.157894736842106,103,1.4281830943938079
2.4390243902439024,200,1.0789767834204123
25.0,14,2.254650005289916
0.0,15,2.056545882316771
0.0,15,2.0663863162193636
10.0,44,1.4442100743635586
11.450381679389313,200,1.9950088694089574
0.0,11,4.231959763348096
4.6875,108,1.8429861676864605
2.2222222222222223,83,1.2450342202261324
16.666666666666664,9,2.979994284254877
0.0,3,5.908561929397416
14.285714285714285,27,1.8670982365965263
0.0,15,2.1158680369357414
25.0,14,2.1873371815508014
29.166666666666668,89,1.7101499204147677
11.450381679389313,200,1.9950088694089574
0.0,53,1.301310562237458
0.0,18,2.9301124972586843
2.3622047244094486,200,1.0437211325099447
0.0,15,2.1158680369357414
2.631578947368421,55,1.168736787323641
0.0,11,2.4078322768043767
4.761904761904762,23,1.3299426881151533
6.329113924050633,200,1.3241646185756852
25.0,14,2.254650005289916
1.1235955056179776,200,1.0337388707381463
15.625,46,2.164299198431593
0.0,29,2.011405097534834
0.0,14,2.461188517553067
5.319148936170213,144,1.2292760535634104
20.0,11,4.403338899665018
5.714285714285714,41,2.5941707871275588
7.6923076923076925,54,1.5145498164712528
16.666666666666664,19,2.5355034454261065
